ID,Category,Context_Chunk,Source_URL
1,Cancer - Definition,"Cancer is a group of related diseases that begins in cells, where extra cells keep dividing to form a mass of tissue called a tumor.",https://caro.doh.gov.ph/non-communicable-diseases/
2,Cancer - Lifestyle Prevention,"To help lessen the risk of developing cancer, individuals should watch their diet, limit drinking alcoholic beverages, and do regular physical activity.",https://caro.doh.gov.ph/non-communicable-diseases/
3,Stroke - Definition,"Cerebrovascular disease, also known as a stroke or ""brain attack,"" is an interruption of the blood supply to any part of the brain.",https://caro.doh.gov.ph/non-communicable-diseases/
4,Stroke - Lifestyle Prevention,"To prevent cerebrovascular disease, you should eat a healthy diet, maintain a healthy weight, engage in regular physical activity, and drink alcohol in moderation.",https://caro.doh.gov.ph/non-communicable-diseases/
5,Depression - Definition,Depression is characterized by either depressed mood or markedly diminished interest or pleasure in most activities of the day.,https://caro.doh.gov.ph/non-communicable-diseases/
6,Depression - Lifestyle Prevention,"Psychological interventions such as cognitive therapy, behavior therapy, interpersonal therapy, and family therapy may be administered to help manage depression.",https://caro.doh.gov.ph/non-communicable-diseases/
7,Diabetes - Definition,"Diabetes mellitus is a set of related diseases in which the body cannot regulate the amount of sugar, specifically glucose, in the blood.",https://caro.doh.gov.ph/non-communicable-diseases/
8,Diabetes - Lifestyle Prevention,"To prevent diabetes, individuals should maintain a healthy diet, exercise regularly, and drink alcohol in moderation.",https://caro.doh.gov.ph/non-communicable-diseases/
9,Obesity - Definition,Obesity and overweight are defined as abnormal or excessive fat accumulation that may impair health.,https://caro.doh.gov.ph/non-communicable-diseases/
10,Obesity - Lifestyle Prevention,"To prevent and treat obesity, individuals should limit high-calorie and sugar intake, eat more fruits, vegetables, legumes, whole grains, and nuts, and engage in regular physical activity.",https://caro.doh.gov.ph/non-communicable-diseases/
11,Hypertension - Definition,High blood pressure or hypertension is a common cardiovascular disease that serves as a major risk factor for developing a stroke.,https://caro.doh.gov.ph/non-communicable-diseases/
12,Hypertension - Lifestyle Prevention,"To prevent high blood pressure, you should eat a nutritious, low-salt, low-fat diet, exercise regularly, maintain a healthy weight, drink alcohol in moderation, quit smoking, and reduce stress.",https://caro.doh.gov.ph/non-communicable-diseases/
13,Heat Stroke - Definition,Heat stroke is the most severe form of heat illness that occurs when the body overheats and cannot cool down due to dehydration or a humid environment.,https://caro.doh.gov.ph/non-communicable-diseases/
14,Heat Stroke - Lifestyle Prevention,"Prevention during hot weather includes limiting time outdoors, drinking plenty of water, avoiding alcohol or caffeinated drinks, wearing wide-brimmed hats, and scheduling heavy activities for cooler parts of the day.",https://caro.doh.gov.ph/non-communicable-diseases/
15,Coronary Artery Disease - Definition,"Coronary Artery Disease is the blockage of arteries that supply blood to the heart, usually caused by the accumulation of plaques and hardening of the arteries.",https://caro.doh.gov.ph/non-communicable-diseases/
16,Coronary Artery Disease - Lifestyle Prevention,"The most effective way to prevent heart disease is through lifestyle changes like eating a healthy, balanced diet with lower fat, engaging in regular physical activity, quitting smoking, and lowering alcohol intake.",https://caro.doh.gov.ph/non-communicable-diseases/
17,COPD - Definition,"Chronic Obstructive Pulmonary Disease (COPD) is a life-threatening lung disease, including emphysema and chronic bronchitis, that causes airflow blockage and breathing problems.",https://caro.doh.gov.ph/non-communicable-diseases/
18,COPD - Lifestyle Prevention,"To prevent COPD, individuals must quit smoking, avoid secondhand smoke, eliminate home and workplace air pollutants, and avoid respiratory infections.",https://caro.doh.gov.ph/non-communicable-diseases/
19,Pinggang Pinoy - GROW Foods,"For body-building GROW foods, eat fish, shellfish, lean meat, poultry, eggs, and dried beans. Include fatty fish like tuna, sardines, and mackerel 2-3 times a week to provide essential fatty acids that help protect against heart diseases.",http://www.fnri.dost.gov.ph
20,Pinggang Pinoy - GO Foods,"For energy-giving GO foods, choose whole grains like brown rice, corn, whole wheat bread, and oatmeal, which are linked to a lower risk of heart disease, diabetes, and other health problems.",http://www.fnri.dost.gov.ph
21,Pinggang Pinoy - GLOW Foods,"For body-regulating GLOW foods, enjoy a wide variety of fruits and vegetables, which are packed with vitamins, minerals and fiber needed for the regulation of body processes.",http://www.fnri.dost.gov.ph
22,Pinggang Pinoy - NCD Prevention,"To prevent chronic diseases, eat less salty, fried, fatty, and sugar-rich foods. Limit intake of sugar-sweetened beverages to reduce the risk of obesity.",http://www.fnri.dost.gov.ph
23,Diabetes - Definition,Type 2 diabetes mellitus is a condition that results from a progressive insulin secretory defect on the background of insulin resistance.,https://www.pcdef.org/philippine-clinical-practice-guidelines-for-diabetes
24,Diabetes - Exercise,"People with Type 2 diabetes should undertake moderate aerobic physical activity, such as brisk walking or continuous swimming, for at least 150 minutes per week.",https://www.pcdef.org/philippine-clinical-practice-guidelines-for-diabetes
25,Diabetes - Exercise,"In addition to aerobic exercise, individuals with diabetes should engage in moderate to vigorous resistance training, such as weight lifting, at least 2 to 3 days a week.",https://www.pcdef.org/philippine-clinical-practice-guidelines-for-diabetes
26,Diabetes - Weight Management,"To lower cardiovascular risk, overweight diabetic individuals should target an initial body weight loss of 5 to 10 percent and aim to maintain a normal Body Mass Index (BMI) of less than 23.",https://www.pcdef.org/philippine-clinical-practice-guidelines-for-diabetes
27,Diabetes - Diet Macronutrients,"For optimal diabetes nutrition, the recommended daily macronutrient proportion is 50 to 55 percent carbohydrates, 15 to 20 percent protein, and no more than 30 percent fat, combined with a reduced salt intake.",https://www.pcdef.org/philippine-clinical-practice-guidelines-for-diabetes
28,Diabetes - Diet Choices,"A healthy diabetic meal plan should be based heavily on vegetables, whole grains, and fresh fruits, with moderate servings of lean meat, fish, or eggs.",https://www.pcdef.org/philippine-clinical-practice-guidelines-for-diabetes
29,Diabetes - Diet Restrictions,"Individuals managing diabetes must minimize their intake of fats, sugars, salt, and alcohol, strictly avoiding processed meats, fried foods, pastries, and soft drinks.",https://www.pcdef.org/philippine-clinical-practice-guidelines-for-diabetes
30,Diabetes - Lifestyle Habits,"Individuals with diabetes are strongly advised not to smoke, as smoking cessation is a critical step in preventing long-term diabetic complications.",https://www.pcdef.org/philippine-clinical-practice-guidelines-for-diabetes
31,General - Exercise Safety,"Before engaging in rigorous physical activity, ensure safety by getting clearance from a physician, drinking 250 ml of fluid every 15 to 20 minutes to stay hydrated, and stopping immediately if dizziness, nausea, or chest pains occur.",https://up.edu.ph/health-wellness-and-heritage-did-you-know/
32,Children (5-12) - Exercise,"Children aged 5 to 12 years old should get at least 60 minutes of daily physical activity, which can include active travel, household chores, programmed sports, and spontaneous unstructured play.",https://up.edu.ph/health-wellness-and-heritage-did-you-know/
33,Adolescents (13-20) - Exercise,"Adolescents and young adults aged 13 to 20 should get at least 60 minutes of daily physical activity, including at least 20 minutes of sustained moderate to vigorous activities (like brisk walking or jogging) and muscle strengthening 2 to 3 times a week.",https://up.edu.ph/health-wellness-and-heritage-did-you-know/
34,Adults (21-45) - Exercise,"Adults aged 21 to 45 should get 30 to 60 minutes of daily physical activity, such as 30 minutes of moderate aerobic activity, muscle-strengthening exercises at least twice a week, and 2 minutes of physical activity for every hour of workplace sitting.",https://up.edu.ph/health-wellness-and-heritage-did-you-know/
35,Older Adults (46-59) - Exercise,"Older adults aged 46 to 59 should aim for at least 30 minutes of daily physical activity, incorporating moderate aerobic exercises, muscle strengthening (8 to 12 repetitions), and balance and coordination activities like yoga or tai chi 2 to 4 days per week.",https://up.edu.ph/health-wellness-and-heritage-did-you-know/
36,Seniors (60-69) - Exercise,"Senior citizens aged 60 to 69 should get at least 30 minutes of daily physical activity, emphasizing load-bearing activities to maintain bone density and dynamic movements that challenge postural stability and balance.",https://up.edu.ph/health-wellness-and-heritage-did-you-know/
37,Seniors (70-79) - Exercise,"Senior citizens aged 70 to 79 are recommended to do 30 minutes of daily light physical activities (standing, seated, or assisted), mild calisthenics or elastic band training, and supported balance activities.",https://up.edu.ph/health-wellness-and-heritage-did-you-know/
38,Seniors (80+) - Exercise,"Senior citizens aged 80 and above should engage in at least 20 minutes of continuous or accumulated light physical activities daily, mild strength training twice a week, and supported balance and coordination activities at least 3 days a week.",https://up.edu.ph/health-wellness-and-heritage-did-you-know/
39,WHO Children (5-17) - Exercise,"The World Health Organization recommends that children and adolescents aged 5 to 17 years do at least 60 minutes of moderate to vigorous-intensity physical activity daily, including muscle and bone-strengthening activities at least 3 times per week.",https://www.who.int/initiatives/behealthy/physical-activity
40,WHO Adults (18-64) - Exercise,"For adults aged 18 to 64 years, the World Health Organization recommends at least 150 minutes of moderate-intensity, or 75 minutes of vigorous-intensity physical activity per week, along with muscle-strengthening activities on 2 or more days a week.",https://www.who.int/initiatives/behealthy/physical-activity
41,WHO Seniors (65+) - Exercise,"The World Health Organization recommends adults aged 65 years and older get at least 150 minutes of moderate-intensity physical activity per week, muscle-strengthening activities 2 or more days a week, and balance-enhancing activities 3 or more days a week to prevent falls.",https://www.who.int/initiatives/behealthy/physical-activity
42,WHO Adults - Extra Health Benefits,"For additional health benefits and disease prevention, the World Health Organization suggests that adults aged 18 and older can increase their moderate-intensity physical activity to 300 minutes per week.",https://www.who.int/initiatives/behealthy/physical-activity
43,AHA Cardio - Hypertension,"To lower blood pressure, the American Heart Association recommends at least 150 minutes per week of moderate-intensity aerobic activity, such as brisk walking for 30 minutes a day, 5 days a week.",https://www.heart.org
44,AHA Cardio - Short Sessions,"If a continuous 30-minute workout is difficult, the American Heart Association notes that taking short, 10-minute bursts of brisk walking three times a day can be just as effective for lowering blood pressure.",https://www.heart.org
45,ACSM Cardio - Beginners,"For beginners, the American College of Sports Medicine recommends starting gradually with rhythmic, aerobic exercises involving major muscle groups, aiming for 150 minutes of moderate or 75 minutes of vigorous activity per week.",https://www.acsm.org
46,WHO Cardio - Active Commuting,"The World Health Organization states that active commuting, such as walking for 30 minutes or cycling for 20 minutes on most days, is linked to a 10% lower risk of cardiovascular disease and a 30% lower risk of type 2 diabetes.",https://www.who.int
47,Mayo Clinic Cardio - Moderate Intensity,"Moderate aerobic activity raises your heart rate so you break a sweat and can talk but not sing. Examples include brisk walking, water aerobics, and bicycling slower than 10 mph.",https://www.mayoclinic.org
48,Mayo Clinic Cardio - Vigorous Intensity,"Vigorous aerobic activity causes rapid breathing where you cannot say more than a few words without pausing. Examples include running, jogging, swimming laps, hiking uphill, and fast bicycling.",https://www.mayoclinic.org
49,Cardio - Substitution Rule,"According to cardiovascular health guidelines, 1 minute of vigorous-intensity activity generally provides similar health benefits to 2 minutes of moderate-intensity activity.",https://www.heart.org
50,PHA Cardio - Brisk Walking,"To reduce cardiovascular risk, the Philippine Heart Association recommends at least 150 minutes of moderate-intensity aerobic activity per week, aiming for a 30-minute brisk walk daily and a goal of 10,000 steps per day.",https://www.philheart.org/
51,PHA Cardio - Walking Technique,"For maximum cardiovascular benefits, the Philippine Heart Association advises practicing proper brisk walking technique by maintaining a straight back, slightly engaging the core, and using purposeful arm swinging.",https://www.philheart.org/
52,DOH Go4Health - Aerobics,"The DOH Pilipinas Go4Health program recommends adults prevent non-communicable diseases by getting 150 to 300 minutes of moderate aerobic physical activity per week, such as brisk walking, dancing, cycling, or playing basketball.",https://doh.gov.ph/
53,PCEDM Cardio - Diabetes,"To improve glycemic control and manage diabetes, the Philippine College of Endocrinology, Diabetes and Metabolism recommends 150 minutes of moderate aerobic exercise per week, ensuring there are no more than two consecutive inactive days.",https://pcedm.ph/
54,PHA - 52100 Formula,"For cardiovascular disease prevention, the Philippine Heart Association recommends the ""52100"" formula: 5 servings of fruits and vegetables, less than 2 hours of screen time, 1 hour of physical activity, 0 sugar-sweetened beverages, and 0 smoking.",https://www.philheart.org/
55,FNRI - Daily Active Tasks,"Based on DOST-FNRI data, Filipinos can maintain cardiovascular health through active daily tasks of light to moderate intensity, such as walking, sweeping, household chores, and gardening.",https://www.fnri.dost.gov.ph/
56,FNRI - Energy Expenditure,"According to DOST-FNRI studies, engaging in common physical activities like brisk walking, active commuting, and chores contributes to a healthy mean daily energy expenditure of around 2,127 kcal for females and 2,679 kcal for males.",https://www.fnri.dost.gov.ph/
57,Pinggang Pinoy - Adults,"For adults, a healthy meal plate should consist of 1/2 plate of 'Glow' foods (fruits/vegetables), 1/4 'Go' (grains), and 1/4 'Grow' (proteins).",http://www.fnri.dost.gov.ph
58,Diabetes - Screening,Individuals with a BMI $\ge$ 23 $kg/m^2$ or a waist circumference $\ge$ 80 cm (females) or 90 cm (males) should be screened for Type 2 Diabetes.,https://www.pcedf.org
59,Dyslipidemia - Prevention,"To manage cholesterol, limit intake of saturated fats to < 7% of total calories and eliminate trans fats from partially hydrogenated oils.",https://www.philheart.org
60,NCD - Alcohol Policy,Limit alcohol intake to no more than 2 drinks per day for men and 1 drink per day for women to reduce cardiovascular risk.,https://caro.doh.gov.ph
61,Smoking Cessation,"The '5As' strategy (Ask, Advise, Assess, Assist, Arrange) is the standard clinical approach for tobacco cessation in the Philippines.",https://caro.doh.gov.ph
62,Salt Consumption,Limit salt intake to < 5g (approx. 1 tsp) per day to prevent hypertension and stroke risk.,http://www.fnri.dost.gov.ph
63,Diabetes - Foot Care,Daily foot inspection for redness or blisters is mandatory for diabetics to prevent ulcers.,https://www.pcedf.org
64,Heart Failure - Sodium,Patients with heart failure should restrict sodium to < 2g/day to prevent fluid exacerbation.,https://www.philheart.org
65,Stroke - FAST,"Use FAST (Face, Arm, Speech, Time) for rapid recognition and emergency response to stroke.",https://caro.doh.gov.ph
66,Obesity - WHR,Waist-to-hip ratio $> 0.90$ (M) and $> 0.85$ (F) indicates high risk for metabolic complications.,http://www.fnri.dost.gov.ph
67,Pinggang Pinoy - Elderly,Elderly (60y+) should focus on high-fiber foods and $\ge$ 8 glasses of water to manage digestion.,http://www.fnri.dost.gov.ph
68,Hypertension - DASH,"The DASH diet (rich in K, Ca, Mg) is recommended for lowering systolic and diastolic BP.",https://www.philheart.org
69,CVD - Aspirin,Low-dose aspirin (75-100mg) is for secondary prevention in established CVD cases only.,https://www.philheart.org
70,Pregnancy - GDM,Screen for Gestational Diabetes at 24-28 weeks using a 75g Oral Glucose Tolerance Test (OGTT).,https://www.pcedf.org
71,Hyperuricemia - Gout,"Limit high-purine foods (organ meats, legumes) and avoid sugary drinks to manage uric acid.",https://www.philheart.org
72,Activity - Sedentary,Break sitting every 30 mins with light movement to reduce the risk of metabolic syndrome.,https://caro.doh.gov.ph
73,Diabetes - Hypoglycemia,Treat blood sugar $< 70$ mg/dL with 15g fast carbs; recheck in 15 mins (15-15 Rule).,https://www.pcedf.org
74,Hypertension - Coffee,Limit caffeine as it can cause temporary spikes in BP; avoid $> 2$ cups/day if BP is uncontrolled.,https://www.philheart.org
75,Obesity - BMI Cutoffs,CutoffsOverweight for Filipinos is BMI 23-24.9; Obese is BMI $\ge$ 25.,http://www.fnri.dost.gov.ph
76,CVD - Exercise Intensity,"Target 150 mins/week of moderate-intensity aerobic exercise (e.g., brisk walking).",https://caro.doh.gov.ph
77,Smoking - Secondhand,Exposure to secondhand smoke increases the risk of heart disease and lung cancer by 20-30%.,https://caro.doh.gov.ph
78,Cancer - Cervical,Sexually active women 25-55y should undergo Visual Inspection with Acetic Acid (VIA) or Pap smear.,https://caro.doh.gov.ph
79,NCD - Stress Management,Chronic stress increases cortisol; practice mindfulness or deep breathing for 10-15 mins/day.,https://caro.doh.gov.ph
80,Diabetes - Resistance,Include strength training (weights/bands) 2-3 times/week to improve insulin sensitivity.,https://www.pcedf.org
81,Nutrition - Fatty Fish,"Consume fatty fish (tuna, mackerel) 2-3 times/week for essential Omega-3 fatty acids.",http://www.fnri.dost.gov.ph
82,Hypertension - Home BP,Home BP monitoring (HBPM) is recommended to identify 'White Coat' or 'Masked' hypertension.,https://www.philheart.org
83,Asthma - Triggers,"Identify and avoid environmental triggers like dust mites, pollen, and tobacco smoke.",https://caro.doh.gov.ph
84,Pinggang Pinoy - Teens,Teens (13-18y) need increased protein (Grow) and calcium for peak bone mass development.,http://www.fnri.dost.gov.ph
85,CVD - Trans Fats,Read labels for 'partially hydrogenated oils'; even 0g trans fat can have 0.5g/serving.,https://caro.doh.gov.ph
86,Diabetes - Fiber,Aim for 25-30g of fiber daily to slow glucose absorption and improve satiety.,https://www.pcedf.org
87,Hypertension - Weight,Losing 1kg of body weight can reduce systolic BP by approximately 1 mmHg.,https://www.philheart.org
88,Stroke - Ischemic,80% of strokes are ischemic; early administration of thrombolytics (within 3-4.5h) is critical.,https://caro.doh.gov.ph
89,Cancer - Colorectal,Adults 50y+ should undergo Fecal Occult Blood Test (FOBT) annually for screening.,https://caro.doh.gov.ph
90,Activity - Vigorous,"75 mins of vigorous activity (e.g., running) is equivalent to 150 mins of moderate activity.",https://caro.doh.gov.ph
91,Nutrition - Hydration,Drink water instead of sugar-sweetened beverages (SSBs) to reduce caloric intake.,http://www.fnri.dost.gov.ph
92,Diabetes - Sick Day,Continue insulin even if ill; monitor blood sugar every 4 hours and check for ketones.,https://www.pcedf.org
93,Hypertension - Potassium,"Increase potassium intake (bananas, potatoes) unless CKD is present to help lower BP.",https://www.philheart.org
94,CVD - Sleep Apnea,Obstructive Sleep Apnea (OSA) is a significant risk factor for resistant hypertension.,https://www.philheart.org
95,Obesity - Child Growth,Monitor children's growth via WFA (Weight-for-Age) charts to detect early-onset obesity.,http://www.fnri.dost.gov.ph
96,NCD - Health Check,"Annual physical exams for adults 40y+ should include ECG, FBS, and lipid profile.",https://caro.doh.gov.ph
97,Diabetes - Pre-diabetes,FPG of 100-125 mg/dL is considered pre-diabetes; lifestyle intervention can prevent T2DM.,https://www.pcedf.org
98,Cancer - Risk Factors,Occupational exposure to asbestos or silica increases the risk of lung cancer and NCDs.,https://caro.doh.gov.ph
99,Hypertension - Medication,ARBs and ACE inhibitors are preferred for hypertensive patients with diabetes or CKD.,https://www.philheart.org
100,Nutrition - Glow Foods,"Eat a variety of colors (green, yellow, red) to ensure a full spectrum of vitamins/minerals.",http://www.fnri.dost.gov.ph
101,CVD - Omega-3,Supplementation is not a substitute for dietary fish intake for heart health.,https://www.philheart.org
102,Diabetes - Travel,Always carry extra supplies and a medical ID stating 'I have Diabetes' when traveling.,https://www.pcedf.org
103,Smoking - Nicotine,Nicotine replacement therapy (NRT) can double the success rate of quitting smoking.,https://caro.doh.gov.ph
104,COPD - Spirometry,Spirometry is the gold standard for diagnosing and monitoring COPD progression.,https://caro.doh.gov.ph
105,Pinggang Pinoy - Kids,Kids (3-12y) need nutrient-dense snacks like fruits or boiled camote between meals.,http://www.fnri.dost.gov.ph
106,NCD - Mental Health,Depression and anxiety are comorbid with chronic diseases and worsen treatment adherence.,https://caro.doh.gov.ph
107,Hypertension - Salt Hiding,"Processed foods (canned goods, instant noodles) provide 70% of hidden dietary salt.",http://www.fnri.dost.gov.ph
108,CVD - Alcohol Heart,Excessive alcohol can lead to cardiomyopathy and increased risk of atrial fibrillation.,https://www.philheart.org
109,Diabetes - Protein,Grow foods like skinless chicken and legumes are preferred over red or processed meats.,https://www.pcedf.org
110,Activity - Flexibilty,Stretching and balance exercises are essential for the elderly to prevent NCD-related falls.,https://caro.doh.gov.ph
111,Obesity - BMI Children,"For children, obesity is defined as BMI-for-age > 2 standard deviations from the median.",http://www.fnri.dost.gov.ph
112,Cancer - Skin,Avoid sun exposure from 10 AM to 4 PM and use broad-spectrum sunscreen in the Philippines.,https://caro.doh.gov.ph
113,Diabetes - Monitoring,SMBG (Self-Monitoring of Blood Glucose) is vital for patients on insulin to avoid hypos.,https://www.pcedf.org
114,Hypertension - Target,General target for most hypertensive patients is < 140/90 mmHg.,https://www.philheart.org
115,Nutrition - Sugar,Added sugars should be < 10% of total energy intake to prevent obesity and NCDs.,http://www.fnri.dost.gov.ph
116,CVD - Pulse Rate,Resting heart rate > 100 bpm (tachycardia) requires medical evaluation for heart health.,https://www.philheart.org
117,Diabetes - Alcohol,Diabetics should never drink alcohol on an empty stomach due to delayed hypoglycemia risk.,https://www.pcedf.org
118,Smoking - Policy,Smoke-free environments in public places are mandated by Executive Order No. 26.,https://caro.doh.gov.ph
119,Cancer - Liver,Hepatitis B vaccination is a primary prevention strategy against liver cancer in the PH.,https://caro.doh.gov.ph
120,Pinggang Pinoy - Lactating,Lactating mothers need additional 'Go' and 'Grow' foods to support milk production.,http://www.fnri.dost.gov.ph
121,Activity - Step Count,"Aim for 7,500 to 10,000 steps per day for significant cardiovascular health benefits.",https://caro.doh.gov.ph
122,NCD - Sleep Quality,Aim for 7-9 hours of sleep; poor sleep is linked to increased risk of obesity and T2DM.,https://caro.doh.gov.ph
123,Hypertension - Urgency,SBP > 180 or DBP > 120 without organ damage is an urgency; seek medical consult.,https://www.philheart.org
124,CVD - Statins,Moderate-to-high intensity statins are used for patients with high 10-year ASCVD risk.,https://www.philheart.org
125,Diabetes - Snacks,"Healthy snacks include unsalted nuts, low-fat yogurt, or fresh local fruits (e.g., guava).",https://www.pcedf.org
126,Nutrition - Go Foods,Limit white bread and pastries; substitute with whole-wheat bread or oatmeal.,http://www.fnri.dost.gov.ph
127,Activity - Workplace,Use stairs instead of elevators and walk to colleagues instead of emailing to stay active.,https://caro.doh.gov.ph
128,Obesity - Weight Loss,A safe weight loss target is 0.5kg to 1kg per week through diet and exercise.,http://www.fnri.dost.gov.ph
129,Cancer - Risk Red,High fiber intake from vegetables and fruits reduces the risk of colon cancer.,https://caro.doh.gov.ph
130,Hypertension - Salt,"Use herbs and spices (garlic, onion, ginger) instead of salt/soy sauce for flavor.",http://www.fnri.dost.gov.ph
131,CVD - Family History,"First-degree relatives with premature CVD (< 55y M, < 65y F) increase individual risk.",https://www.philheart.org
132,Diabetes - Ketones,Check urine ketones if blood sugar is consistently > 240 mg/dL during illness.,https://www.pcedf.org
133,Smoking - Quit Date,Set a 'Quit Date' within 2 weeks and inform family/friends for social support.,https://caro.doh.gov.ph
134,COPD - Oxygen,Long-term oxygen therapy improves survival in COPD patients with severe hypoxemia.,https://caro.doh.gov.ph
135,Nutrition - Milk,Drink one glass of low-fat milk daily for calcium to prevent NCD-related osteoporosis.,http://www.fnri.dost.gov.ph
136,Activity - Group,"Group exercise (e.g., Zumba, basketball) improves adherence and social well-being.",https://caro.doh.gov.ph
137,Hypertension - BP Check,Avoid caffeine/smoking 30 mins before BP measurement; sit quietly for 5 mins.,https://www.philheart.org
138,CVD - Omega-3 Source,Tilapia and Bangus are good local sources of protein but lower in Omega-3 than Tulingan.,http://www.fnri.dost.gov.ph
139,Diabetes - Carbohydrate,Use the 'Plate Method' to control portion sizes without tedious calorie counting.,https://www.pcedf.org
140,Cancer - Awareness,"Report persistent cough, voice changes, or unusual lumps to a doctor immediately.",https://caro.doh.gov.ph
141,NCD - Health Literacy,"Understanding food labels (Serving Size, %RENI) is key to making healthy choices.",http://www.fnri.dost.gov.ph
142,Obesity - BMI Monitoring,Check BMI monthly; any sudden increase is a signal to re-evaluate caloric intake.,http://www.fnri.dost.gov.ph
143,Hypertension - Potassium,Avoid potassium supplements unless prescribed; focus on whole food sources.,https://www.philheart.org
144,CVD - Secondary Prev,High-intensity statins (Atorvastatin 40-80mg) are standard post-myocardial infarction.,https://www.philheart.org
145,Diabetes - Eye Care,Annual dilated eye exam is required to screen for diabetic retinopathy.,https://www.pcedf.org
146,Smoking - Relapse,Most people take 5-7 attempts to quit; treat a lapse as a learning opportunity.,https://caro.doh.gov.ph
147,Activity - Strength,"Muscle-strengthening should involve all major muscle groups: legs, hips, back, chest.",https://caro.doh.gov.ph
148,Nutrition - Glow Foods,Steam or boil vegetables instead of frying to preserve vitamins and limit fat.,http://www.fnri.dost.gov.ph
149,NCD - Risk Charts,Use WHO/ISH risk prediction charts to estimate 10-year risk of fatal CV events.,https://caro.doh.gov.ph
150,Nutrition - Vitamin A,"Vitamin A-rich foods include yellow and orange fruits and vegetables like squash, carrots, and ripe papaya to support eye health.",http://www.fnri.dost.gov.ph
151,Pinggang Pinoy - School Children,"For children aged 6-12, the Pinggang Pinoy suggests 1.5 to 2 cups of vegetables daily for fiber and micronutrients.",http://www.fnri.dost.gov.ph
152,Nutrition - Iodine,Use iodized salt in cooking and at the table to prevent Iodine Deficiency Disorders (IDD) which can cause goiter.,http://www.fnri.dost.gov.ph
153,Nutrition - Iron,"Iron-rich foods like liver, blood, and dark green leafy vegetables help prevent iron-deficiency anemia, common among pregnant women.",http://www.fnri.dost.gov.ph
154,Nutrition - Calcium,Small fish with bones (like dilis) and dairy products are excellent sources of calcium for bone density.,http://www.fnri.dost.gov.ph
155,Pinggang Pinoy - Energy Density,"Go foods like rice and corn should provide the energy needed for daily activities, but should be consumed in moderation.",http://www.fnri.dost.gov.ph
156,Nutrition - Sugary Drinks,Replace sweetened beverages with water to reduce the risk of dental caries and excessive weight gain.,http://www.fnri.dost.gov.ph
157,Nutrition - Food Safety,Proper handwashing before food preparation and eating is the first step in preventing foodborne illnesses.,https://caro.doh.gov.ph
158,Nutrition - Fats,Limit the use of coconut oil and palm oil high in saturated fats; prefer oils like canola or olive oil when available.,http://www.fnri.dost.gov.ph
