ID,Category,Context_Chunk,Source_URL
159,Pinggang Pinoy - Water Intake,Adults should drink 8 or more glasses of water daily to stay hydrated and support metabolic functions.,http://www.fnri.dost.gov.ph
160,Diabetes - HbA1c,The HbA1c test measures average blood sugar over the past 2-3 months; a target of <7% is common for many adults.,https://www.pcedf.org
161,Diabetes - Insulin Injection,"Rotate insulin injection sites (abdomen, thighs, arms) to prevent lipohypertrophy, which can affect absorption.",https://www.pcedf.org
162,Diabetes - Self-Monitoring,Keep a logbook of blood glucose readings to help your doctor adjust your medication and lifestyle plan effectively.,https://www.pcedf.org
163,Diabetes - Footwear,People with diabetes should wear well-fitting shoes and avoid walking barefoot even indoors to prevent foot injuries.,https://www.pcedf.org
164,Diabetes - Hypoglycemia Treatment,Treat low blood sugar (hypoglycemia) using the 15-15 rule: consume 15g of fast-acting carbs and recheck in 15 minutes.,https://www.pcedf.org
165,Diabetes - Kidney Health,An annual microalbuminuria test is essential for early detection of diabetic kidney disease (nephropathy).,https://www.pcedf.org
166,Diabetes - Gum Disease,People with diabetes are at higher risk for periodontal (gum) disease; regular dental checkups are necessary.,https://www.pcedf.org
167,Diabetes - Travel Prep,"When traveling, always carry double the amount of diabetes supplies needed and keep insulin in a cool bag.",https://www.pcedf.org
168,Diabetes - Metformin,Metformin is often the first-line medication for Type 2 Diabetes to help the body use insulin better.,https://www.pcedf.org
169,Diabetes - Stress Response,Stress hormones can cause blood sugar levels to rise; stress management is a core part of diabetes care.,https://www.pcedf.org
170,Hypertension - DASH Fruits,The DASH diet encourages 4-5 servings of fruit daily to provide potassium and fiber for blood pressure control.,https://www.philheart.org
171,Hypertension - DASH Veggies,Consuming 4-5 servings of vegetables daily is a key component of the DASH diet to lower high blood pressure.,https://www.philheart.org
172,CVD - Heart Attack Signs,"Common symptoms of a heart attack include chest pain, shortness of breath, and pain in the neck, jaw, or back.",https://www.philheart.org
173,CVD - Atrial Fibrillation,Atrial fibrillation is an irregular heart rhythm that significantly increases the risk of stroke and heart failure.,https://www.philheart.org
174,CVD - Peripheral Artery Disease,Pain in the legs while walking that stops with rest (claudication) can be a sign of narrowed arteries (PAD).,https://www.philheart.org
175,Hypertension - Hidden Sodium,"Processed meats, canned goods, and instant noodles are major sources of hidden sodium in the Filipino diet.",http://www.fnri.dost.gov.ph
176,Hypertension - Potassium Source,"Bananas, camote, and spinach are natural sources of potassium that help the body excrete excess sodium.",https://www.philheart.org
177,CVD - Blood Pressure Targets,"For most adults, maintaining a blood pressure below 130/80 mmHg is recommended to reduce cardiovascular risk.",https://www.philheart.org
178,Hypertension - Alcohol Impact,Reducing alcohol consumption can lower systolic blood pressure by approximately 2 to 4 mmHg.,https://www.philheart.org
179,CVD - Cardiac Rehab,"Post-heart surgery, a structured cardiac rehabilitation program improves recovery and reduces future event risks.",https://www.philheart.org
180,Cancer - Breast Self-Exam,Perform monthly breast self-examinations to notice changes early; any unusual lumps should be reported to a doctor.,https://caro.doh.gov.ph
181,Cancer - Lung Screening,"Long-term heavy smokers may benefit from annual low-dose CT scans to detect lung cancer at an early, treatable stage.",https://caro.doh.gov.ph
182,Cancer - Colorectal Screening,"Adults over 45 should undergo regular screening for colorectal cancer, such as a fecal immunochemical test (FIT).",https://caro.doh.gov.ph
183,Cancer - Liver Cancer,Chronic Hepatitis B infection is a leading cause of liver cancer in the Philippines; vaccination is key to prevention.,https://caro.doh.gov.ph
184,Cancer - Cervical Screening,The Pap smear and HPV DNA test are vital tools for the early detection and prevention of cervical cancer.,https://caro.doh.gov.ph
185,Cancer - Prostate Check,Men over 50 should discuss the risks and benefits of Prostate-Specific Antigen (PSA) screening with their physician.,https://caro.doh.gov.ph
186,Cancer - UV Protection,Limit sun exposure between 10 AM and 4 PM and use sunscreen to reduce the risk of skin cancer.,https://caro.doh.gov.ph
187,Cancer - Childhood Cancers,Leukemia is the most common cancer among children; early diagnosis through blood tests is crucial for survival.,https://caro.doh.gov.ph
188,Cancer - Processed Meats,High consumption of processed meats like longganisa and tocino is linked to an increased risk of colorectal cancer.,http://www.fnri.dost.gov.ph
189,Cancer - Physical Activity,"Regular exercise reduces the risk of several cancers, including breast, colon, and endometrial cancer.",https://caro.doh.gov.ph
190,Activity - Cycling,Cycling is a low-impact aerobic exercise that improves cardiovascular health and leg strength without stressing joints.,https://caro.doh.gov.ph
191,Activity - Swimming,Swimming provides a full-body workout and is an excellent option for individuals with arthritis or joint pain.,https://caro.doh.gov.ph
192,Activity - Stair Climbing,Using the stairs instead of the elevator is a simple way to incorporate physical activity into a busy workday.,https://caro.doh.gov.ph
193,Activity - Dancing,"Aerobic dancing or Zumba improves heart health, coordination, and mood through rhythmic movement.",https://caro.doh.gov.ph
194,Activity - Balance Exercises,"Seniors should practice balance exercises, such as standing on one leg, to prevent falls and fractures.",https://caro.doh.gov.ph
195,Activity - Warm-up,A 5-10 minute warm-up before vigorous exercise prepares the muscles and heart for increased demand.,https://caro.doh.gov.ph
196,Activity - Cool-down,Gradually slowing down at the end of a workout helps the heart rate return to normal and prevents dizziness.,https://caro.doh.gov.ph
197,Activity - Hydration,"Drink water before, during, and after exercise to prevent dehydration, especially in the tropical Philippine climate.",https://caro.doh.gov.ph
198,Activity - Weekend Warriors,"While daily activity is best, condensing 150 minutes of exercise into weekends still provides significant health benefits.",https://www.who.int
199,Activity - Resistance Bands,Using resistance bands is an affordable and portable way to perform strength training exercises at home.,https://caro.doh.gov.ph
200,COPD - Smoking Link,Cigarette smoking is the leading cause of COPD; quitting is the only way to slow the progression of the disease.,https://caro.doh.gov.ph
201,COPD - Biomass Fuel,Exposure to indoor smoke from cooking with wood or charcoal (biomass) is a major risk factor for COPD in rural areas.,https://caro.doh.gov.ph
202,Asthma - Inhaler Use,Using a spacer with a metered-dose inhaler ensures more medication reaches the lungs and less stays in the mouth.,https://caro.doh.gov.ph
203,Asthma - Peak Flow Meter,A peak flow meter helps patients monitor their airway function and predict asthma attacks before symptoms start.,https://caro.doh.gov.ph
204,Asthma - Exercise Induced,Pre-medicating with a bronchodilator before exercise can help prevent exercise-induced bronchospasm in asthmatics.,https://caro.doh.gov.ph
205,COPD - Pulmonary Rehab,Pulmonary rehabilitation programs combine exercise and education to improve the quality of life for COPD patients.,https://caro.doh.gov.ph
206,COPD - Pneumonia Vaccine,Patients with COPD should receive the pneumococcal vaccine to reduce the risk of severe respiratory infections.,https://caro.doh.gov.ph
207,Asthma - Allergy Control,"Reducing exposure to dust mites, pet dander, and cockroaches can significantly decrease asthma flare-ups.",https://caro.doh.gov.ph
208,Respiratory - Air Quality,Checking the air quality index (AQI) and avoiding outdoor activity on high-pollution days protects lung health.,https://caro.doh.gov.ph
209,COPD - Pursed Lip Breathing,Pursed-lip breathing helps COPD patients slow their breathing down and keep their airways open longer.,https://caro.doh.gov.ph
210,Mental Health - Sleep,Getting 7-9 hours of quality sleep is essential for emotional regulation and cognitive function.,https://caro.doh.gov.ph
211,Mental Health - Social Connection,Maintaining strong social ties with family and friends acts as a buffer against stress and depression.,https://caro.doh.gov.ph
212,Mental Health - Mindfullness,Practicing mindfulness or meditation can help reduce symptoms of anxiety and improve focus.,https://caro.doh.gov.ph
213,Mental Health - Help Seeking,"Reaching out to a mental health professional is a sign of strength, not weakness, when dealing with persistent sadness.",https://caro.doh.gov.ph
214,Stress - Physical Signs,"Chronic stress can manifest physically as headaches, muscle tension, and digestive problems.",https://caro.doh.gov.ph
215,Mental Health - Stigma,Reducing the stigma around mental illness encourages more people to seek life-saving treatment and support.,https://caro.doh.gov.ph
216,Mental Health - Physical Activity,"Regular exercise releases endorphins, which are natural mood lifters that can help manage mild depression.",https://caro.doh.gov.ph
217,Stress - Deep Breathing,"Taking slow, deep breaths activates the body's relaxation response and lowers the heart rate during stress.",https://caro.doh.gov.ph
218,Mental Health - Resilience,Building resilience involves developing healthy coping mechanisms to bounce back from life's challenges.,https://caro.doh.gov.ph
219,Mental Health - Work-Life Balance,Setting boundaries between work and personal life is crucial for preventing burnout and maintaining mental well-being.,https://caro.doh.gov.ph
220,Obesity - Portion Distortion,Be mindful of portion sizes; larger plates and servings can lead to unconscious overeating.,http://www.fnri.dost.gov.ph
221,Obesity - Mindful Eating,Eating slowly and without distractions (like TV) helps you recognize fullness signals and avoid overeating.,http://www.fnri.dost.gov.ph
222,Obesity - Waist Circumference,A waist circumference over 90cm for men and 80cm for women indicates increased risk for NCDs in Filipinos.,http://www.fnri.dost.gov.ph
223,Obesity - Emotional Eating,"Identifying triggers for emotional eating, such as boredom or sadness, is a key step in weight management.",https://caro.doh.gov.ph
224,Obesity - Sleep Connection,"Lack of sleep can disrupt hunger hormones, leading to increased appetite and weight gain.",https://caro.doh.gov.ph
225,Obesity - Meal Planning,Planning meals ahead of time reduces the reliance on high-calorie fast food and processed snacks.,http://www.fnri.dost.gov.ph
226,Obesity - Fiber Intake,"High-fiber foods like vegetables and whole grains help you feel full longer, aiding in weight loss.",http://www.fnri.dost.gov.ph
227,Obesity - Protein Benefits,Including protein in every meal can increase satiety and help maintain muscle mass during weight loss.,http://www.fnri.dost.gov.ph
228,Obesity - Long-term Goals,Aim for a gradual weight loss of 0.5 to 1 kg per week for a more sustainable and healthy result.,https://caro.doh.gov.ph
229,Obesity - Genetic Factors,"While genetics play a role in obesity, lifestyle choices remain the most modifiable factors for weight control.",https://caro.doh.gov.ph
230,Smoking - E-cigarettes,E-cigarettes and vapes are not harmless; they contain nicotine and other chemicals that can damage the lungs.,https://caro.doh.gov.ph
231,Smoking - Heart Health,Quitting smoking reduces the risk of coronary heart disease by half within just one year of cessation.,https://www.philheart.org
232,Smoking - Skin Aging,"Smoking restricts blood flow to the skin, leading to premature wrinkles and a dull complexion.",https://caro.doh.gov.ph
233,Smoking - Thirdhand Smoke,Residual nicotine and chemicals on surfaces (thirdhand smoke) can be harmful to infants and children.,https://caro.doh.gov.ph
234,Smoking - Withdrawal,Common withdrawal symptoms like irritability and cravings are temporary and usually peak within 3 days.,https://caro.doh.gov.ph
235,Smoking - Savings,Quitting smoking leads to significant financial savings that can be redirected toward healthier food and lifestyle.,https://caro.doh.gov.ph
236,Smoking - Support Groups,Joining a smoking cessation group increases the chances of quitting successfully compared to going it alone.,https://caro.doh.gov.ph
237,Smoking - Smell and Taste,"Within 48 hours of quitting, your sense of smell and taste start to return to normal.",https://caro.doh.gov.ph
238,Smoking - Bone Health,"Smoking increases the risk of osteoporosis and bone fractures, particularly in post-menopausal women.",https://caro.doh.gov.ph
239,Smoking - Lung Capacity,"Within 2 to 12 weeks of quitting smoking, your circulation improves and your lung function increases.",https://caro.doh.gov.ph
240,NCD - Annual Checkup,"A regular annual checkup allows for early screening of blood pressure, blood sugar, and cholesterol levels.",https://caro.doh.gov.ph
241,NCD - Salt Reduction,Reducing salt intake to less than 5g per day (about 1 teaspoon) can prevent millions of deaths annually.,https://www.who.int
242,NCD - Universal Health Care,The Philippines' UHC Act aims to ensure all Filipinos have access to essential health services for NCDs.,https://caro.doh.gov.ph
243,NCD - Alcohol Policy,Raising taxes on alcohol is a cost-effective policy to reduce harmful use and related NCDs.,https://www.who.int
244,NCD - Early Detection,Early detection of NCDs through basic screening at health centers significantly reduces long-term treatment costs.,https://caro.doh.gov.ph
245,NCD - Community Support,Barangay health workers play a vital role in monitoring NCD patients and providing education in the community.,https://caro.doh.gov.ph
246,NCD - Health Literacy,"Improving health literacy empowers individuals to make better choices about diet, exercise, and medical care.",https://caro.doh.gov.ph
247,NCD - Family History,Knowing your family's medical history helps identify your personal risk for diseases like diabetes and heart disease.,https://caro.doh.gov.ph
248,NCD - Salt Labeling,Check for 'low sodium' or 'no added salt' labels on food products to help manage your daily salt intake.,http://www.fnri.dost.gov.ph
249,NCD - Medication Adherence,Taking prescribed medications exactly as directed is essential for managing chronic conditions like hypertension.,https://caro.doh.gov.ph
250,Cardio - Zone 2 Training,Zone 2 training involves exercising at 60-70% of max heart rate to build aerobic base and mitochondrial efficiency. ,https://caro.doh.gov.ph
251,Cardio - HIIT Benefits,High-Intensity Interval Training (HIIT) can improve VO2 max and insulin sensitivity faster than steady-state cardio. ,https://www.who.int
252,Cardio - Talk Test,"The talk test is a simple way to measure intensity: at moderate intensity, you can talk but not sing. ",https://caro.doh.gov.ph
253,Cardio - RPE Scale,The Rating of Perceived Exertion (RPE) scale (1-10) helps athletes gauge intensity without a heart rate monitor. ,https://www.who.int
254,Cardio - LISS,"Low-Intensity Steady State (LISS) cardio, like walking, is excellent for recovery and sustainable fat oxidation. ",https://caro.doh.gov.ph
255,Cardio - Running Economy,Improving running form and strengthening core muscles can enhance running economy and reduce injury risk. ,https://www.who.int
256,Cardio - Cycling Power,Cycling builds lower body strength and cardiovascular endurance with minimal impact on the knee joints. ,https://caro.doh.gov.ph
257,Cardio - Swimming Technique,Swimming is a total-body cardio workout that improves lung capacity and is ideal for those with joint issues.,https://www.who.int
258,Cardio - Jump Rope,Jumping rope is a high-calorie burning cardio activity that also improves coordination and bone density. ,https://caro.doh.gov.ph
259,Cardio - Rowing,"Rowing engages 85% of the body's muscles, providing a powerful aerobic and anaerobic challenge. ",https://www.who.int
260,Cardio - VO2 Max,VO2 max is a measure of the maximum amount of oxygen your body can utilize during intense exercise. ,https://caro.doh.gov.ph
261,Cardio - Heart Rate Recovery,How quickly your heart rate drops after exercise is a key indicator of cardiovascular fitness. ,https://www.who.int
262,Cardio - Overtraining,"Persistent fatigue, decreased performance, and elevated resting heart rate are signs of cardio overtraining. ",https://caro.doh.gov.ph
263,Cardio - Hydration,"During long cardio sessions, drink 400-800ml of water per hour, adjusting for sweat rate and climate. ",https://www.who.int
264,Cardio - Electrolytes,"For cardio exceeding 90 minutes, replenishing sodium, potassium, and magnesium is vital to prevent cramping. ",https://caro.doh.gov.ph
265,Cardio - Warm-up,"Dynamic stretching (leg swings, arm circles) is preferred over static stretching before a cardio session. ",https://www.who.int
266,Cardio - Cool-down,A proper cool-down helps prevent blood pooling in the legs and promotes faster recovery. ,https://caro.doh.gov.ph
267,Cardio - Cross-training,"Mixing different types of cardio (e.g., swimming and running) prevents boredom and overuse injuries. ",https://www.who.int
268,Cardio - Progression,The 10% rule suggests increasing weekly mileage or duration by no more than 10% to avoid injury. ,https://caro.doh.gov.ph
269,Cardio - Elliptical,The elliptical trainer provides a weight-bearing cardio workout that is easier on the hips and ankles than running. ,https://www.who.int
270,Cardio - Zone 2 Training,Zone 2 training involves exercising at 60-70% of max heart rate to build aerobic base and mitochondrial efficiency.,https://caro.doh.gov.ph
271,Cardio - HIIT Benefits,High-Intensity Interval Training (HIIT) can improve VO2 max and insulin sensitivity faster than steady-state cardio.,https://www.who.int
272,Cardio - Talk Test,"The talk test is a simple way to measure intensity: at moderate intensity, you can talk but not sing.",https://caro.doh.gov.ph
273,Cardio - RPE Scale,The Rating of Perceived Exertion (RPE) scale (1-10) helps athletes gauge intensity without a heart rate monitor.,https://www.who.int
274,Cardio - LISS,"Low-Intensity Steady State (LISS) cardio, like walking, is excellent for recovery and sustainable fat oxidation.",https://caro.doh.gov.ph
275,Cardio - Running Economy,Improving running form and strengthening core muscles can enhance running economy and reduce injury risk.,https://www.who.int
276,Cardio - Cycling Power,Cycling builds lower body strength and cardiovascular endurance with minimal impact on the knee joints.,https://caro.doh.gov.ph
277,Cardio - Swimming Technique,Swimming is a total-body cardio workout that improves lung capacity and is ideal for those with joint issues.,https://www.who.int
278,Cardio - Jump Rope,Jumping rope is a high-calorie burning cardio activity that also improves coordination and bone density.,https://caro.doh.gov.ph
279,Cardio - Rowing,"Rowing engages 85% of the body's muscles, providing a powerful aerobic and anaerobic challenge.",https://www.who.int
280,Cardio - VO2 Max,VO2 max is a measure of the maximum amount of oxygen your body can utilize during intense exercise.,https://caro.doh.gov.ph
281,Cardio - Heart Rate Recovery,How quickly your heart rate drops after exercise is a key indicator of cardiovascular fitness.,https://www.who.int
282,Cardio - Overtraining,"Persistent fatigue, decreased performance, and elevated resting heart rate are signs of cardio overtraining.",https://caro.doh.gov.ph
283,Cardio - Hydration,"During long cardio sessions, drink 400-800ml of water per hour, adjusting for sweat rate and climate.",https://www.who.int
284,Cardio - Electrolytes,"For cardio exceeding 90 minutes, replenishing sodium, potassium, and magnesium is vital to prevent cramping.",https://caro.doh.gov.ph
285,Cardio - Warm-up,"Dynamic stretching (leg swings, arm circles) is preferred over static stretching before a cardio session.",https://www.who.int
286,Cardio - Cool-down,A proper cool-down helps prevent blood pooling in the legs and promotes faster recovery.,https://caro.doh.gov.ph
287,Cardio - Cross-training,"Mixing different types of cardio (e.g., swimming and running) prevents boredom and overuse injuries.",https://www.who.int
288,Cardio - Progression,The 10% rule suggests increasing weekly mileage or duration by no more than 10% to avoid injury.,https://caro.doh.gov.ph
289,Cardio - Elliptical,The elliptical trainer provides a weight-bearing cardio workout that is easier on the hips and ankles than running.,https://www.who.int
290,Cardio - Zone 2 Training,Zone 2 training involves exercising at 60-70% of max heart rate to build aerobic base and mitochondrial efficiency.,https://caro.doh.gov.ph
291,Cardio - HIIT Benefits,High-Intensity Interval Training (HIIT) can improve VO2 max and insulin sensitivity faster than steady-state cardio.,https://www.who.int
292,Cardio - Talk Test,"The talk test is a simple way to measure intensity: at moderate intensity, you can talk but not sing.",https://caro.doh.gov.ph
293,Cardio - RPE Scale,The Rating of Perceived Exertion (RPE) scale (1-10) helps athletes gauge intensity without a heart rate monitor.,https://www.who.int
294,Cardio - LISS,"Low-Intensity Steady State (LISS) cardio, like walking, is excellent for recovery and sustainable fat oxidation.",https://caro.doh.gov.ph
295,Cardio - Running Economy,Improving running form and strengthening core muscles can enhance running economy and reduce injury risk.,https://www.who.int
296,Cardio - Cycling Power,Cycling builds lower body strength and cardiovascular endurance with minimal impact on the knee joints.,https://caro.doh.gov.ph
297,Cardio - Swimming Technique,Swimming is a total-body cardio workout that improves lung capacity and is ideal for those with joint issues.,https://www.who.int
298,Cardio - Jump Rope,Jumping rope is a high-calorie burning cardio activity that also improves coordination and bone density.,https://caro.doh.gov.ph
299,Cardio - Rowing,"Rowing engages 85% of the body's muscles, providing a powerful aerobic and anaerobic challenge.",https://www.who.int
300,Cardio - VO2 Max,VO2 max is a measure of the maximum amount of oxygen your body can utilize during intense exercise.,https://caro.doh.gov.ph
301,Cardio - Heart Rate Recovery,How quickly your heart rate drops after exercise is a key indicator of cardiovascular fitness.,https://www.who.int
302,Cardio - Overtraining,"Persistent fatigue, decreased performance, and elevated resting heart rate are signs of cardio overtraining.",https://caro.doh.gov.ph
303,Cardio - Hydration,"During long cardio sessions, drink 400-800ml of water per hour, adjusting for sweat rate and climate.",https://www.who.int
304,Cardio - Electrolytes,"For cardio exceeding 90 minutes, replenishing sodium, potassium, and magnesium is vital to prevent cramping.",https://caro.doh.gov.ph
305,Cardio - Warm-up,"Dynamic stretching (leg swings, arm circles) is preferred over static stretching before a cardio session.",https://www.who.int
306,Cardio - Cool-down,A proper cool-down helps prevent blood pooling in the legs and promotes faster recovery.,https://caro.doh.gov.ph
307,Cardio - Cross-training,"Mixing different types of cardio (e.g., swimming and running) prevents boredom and overuse injuries.",https://www.who.int
308,Cardio - Progression,The 10% rule suggests increasing weekly mileage or duration by no more than 10% to avoid injury.,https://caro.doh.gov.ph
309,Cardio - Elliptical,The elliptical trainer provides a weight-bearing cardio workout that is easier on the hips and ankles than running.,https://www.who.int
310,Cardio - Zone 2 Training,Zone 2 training involves exercising at 60-70% of max heart rate to build aerobic base and mitochondrial efficiency.,https://caro.doh.gov.ph
311,Cardio - HIIT Benefits,High-Intensity Interval Training (HIIT) can improve VO2 max and insulin sensitivity faster than steady-state cardio.,https://www.who.int
312,Cardio - Talk Test,"The talk test is a simple way to measure intensity: at moderate intensity, you can talk but not sing.",https://caro.doh.gov.ph
313,Cardio - RPE Scale,The Rating of Perceived Exertion (RPE) scale (1-10) helps athletes gauge intensity without a heart rate monitor.,https://www.who.int
314,Cardio - LISS,"Low-Intensity Steady State (LISS) cardio, like walking, is excellent for recovery and sustainable fat oxidation.",https://caro.doh.gov.ph
315,Cardio - Running Economy,Improving running form and strengthening core muscles can enhance running economy and reduce injury risk.,https://www.who.int
316,Cardio - Cycling Power,Cycling builds lower body strength and cardiovascular endurance with minimal impact on the knee joints.,https://caro.doh.gov.ph
317,Cardio - Swimming Technique,Swimming is a total-body cardio workout that improves lung capacity and is ideal for those with joint issues.,https://www.who.int
318,Cardio - Jump Rope,Jumping rope is a high-calorie burning cardio activity that also improves coordination and bone density.,https://caro.doh.gov.ph
319,Cardio - Rowing,"Rowing engages 85% of the body's muscles, providing a powerful aerobic and anaerobic challenge.",https://www.who.int
320,Cardio - VO2 Max,VO2 max is a measure of the maximum amount of oxygen your body can utilize during intense exercise.,https://caro.doh.gov.ph
321,Cardio - Heart Rate Recovery,How quickly your heart rate drops after exercise is a key indicator of cardiovascular fitness.,https://www.who.int
322,Cardio - Overtraining,"Persistent fatigue, decreased performance, and elevated resting heart rate are signs of cardio overtraining.",https://caro.doh.gov.ph
323,Cardio - Hydration,"During long cardio sessions, drink 400-800ml of water per hour, adjusting for sweat rate and climate.",https://www.who.int
324,Cardio - Electrolytes,"For cardio exceeding 90 minutes, replenishing sodium, potassium, and magnesium is vital to prevent cramping.",https://caro.doh.gov.ph
325,Cardio - Warm-up,"Dynamic stretching (leg swings, arm circles) is preferred over static stretching before a cardio session.",https://www.who.int
326,Cardio - Cool-down,A proper cool-down helps prevent blood pooling in the legs and promotes faster recovery.,https://caro.doh.gov.ph
327,Cardio - Cross-training,"Mixing different types of cardio (e.g., swimming and running) prevents boredom and overuse injuries.",https://www.who.int
328,Cardio - Progression,The 10% rule suggests increasing weekly mileage or duration by no more than 10% to avoid injury.,https://caro.doh.gov.ph
329,Cardio - Elliptical,The elliptical trainer provides a weight-bearing cardio workout that is easier on the hips and ankles than running.,https://www.who.int
330,Cardio - Zone 2 Training,Zone 2 training involves exercising at 60-70% of max heart rate to build aerobic base and mitochondrial efficiency.,https://caro.doh.gov.ph
331,Cardio - HIIT Benefits,High-Intensity Interval Training (HIIT) can improve VO2 max and insulin sensitivity faster than steady-state cardio.,https://www.who.int
332,Cardio - Talk Test,"The talk test is a simple way to measure intensity: at moderate intensity, you can talk but not sing.",https://caro.doh.gov.ph
333,Cardio - RPE Scale,The Rating of Perceived Exertion (RPE) scale (1-10) helps athletes gauge intensity without a heart rate monitor.,https://www.who.int
334,Cardio - LISS,"Low-Intensity Steady State (LISS) cardio, like walking, is excellent for recovery and sustainable fat oxidation.",https://caro.doh.gov.ph
335,Cardio - Running Economy,Improving running form and strengthening core muscles can enhance running economy and reduce injury risk.,https://www.who.int
336,Cardio - Cycling Power,Cycling builds lower body strength and cardiovascular endurance with minimal impact on the knee joints.,https://caro.doh.gov.ph
337,Cardio - Swimming Technique,Swimming is a total-body cardio workout that improves lung capacity and is ideal for those with joint issues.,https://www.who.int
338,Cardio - Jump Rope,Jumping rope is a high-calorie burning cardio activity that also improves coordination and bone density.,https://caro.doh.gov.ph
339,Cardio - Rowing,"Rowing engages 85% of the body's muscles, providing a powerful aerobic and anaerobic challenge.",https://www.who.int
340,Cardio - VO2 Max,VO2 max is a measure of the maximum amount of oxygen your body can utilize during intense exercise.,https://caro.doh.gov.ph
341,Cardio - Heart Rate Recovery,How quickly your heart rate drops after exercise is a key indicator of cardiovascular fitness.,https://www.who.int
342,Cardio - Overtraining,"Persistent fatigue, decreased performance, and elevated resting heart rate are signs of cardio overtraining.",https://caro.doh.gov.ph
343,Cardio - Hydration,"During long cardio sessions, drink 400-800ml of water per hour, adjusting for sweat rate and climate.",https://www.who.int
344,Cardio - Electrolytes,"For cardio exceeding 90 minutes, replenishing sodium, potassium, and magnesium is vital to prevent cramping.",https://caro.doh.gov.ph
345,Cardio - Warm-up,"Dynamic stretching (leg swings, arm circles) is preferred over static stretching before a cardio session.",https://www.who.int
346,Cardio - Cool-down,A proper cool-down helps prevent blood pooling in the legs and promotes faster recovery.,https://caro.doh.gov.ph
347,Cardio - Cross-training,"Mixing different types of cardio (e.g., swimming and running) prevents boredom and overuse injuries.",https://www.who.int
